"","year","Effort","sample.bout","date","obsname","Area","Region.Label","Sample.Label","GridPointID","Minute","Species","Aspect","distance","How","Flock","WindAvg_mph","WindMax_mph","RH_Point","Temp_Point","Tree","Shrub","Spurge","LastRxBurn","ERC_Verdict","ERC_Treat","Group"
"1","2024","1","1","6/10/2024","01",256,"BLA049-C",101,"BLA049-C-101",1,"WEME",1,101,"V",1,2.5,3.3,67.7,59.3,"N","N","N","none","I","2023","BLA049"
"2","2024","1","1","6/10/2024","01",256,"BLA049-C",101,"BLA049-C-101",1,"WEME",0,166,"C",1,2.5,3.3,67.7,59.3,"N","N","N","none","I","2023","BLA049"
"3","2024","1","1","6/10/2024","01",256,"BLA049-C",101,"BLA049-C-101",1,"GRSP",1,45,"C",1,2.5,3.3,67.7,59.3,"N","N","N","none","I","2023","BLA049"
"4","2024","1","1","6/10/2024","01",256,"BLA049-C",101,"BLA049-C-101",1,"WEME",3,125,"C",1,2.5,3.3,67.7,59.3,"N","N","N","none","I","2023","BLA049"
"5","2024","1","1","6/10/2024","01",256,"BLA049-C",101,"BLA049-C-101",NA,NA,NA,NA,NA,NA,2.5,3.3,67.7,59.3,"N","N","N","none","I","2023","BLA049"
"6","2024","1","1","6/10/2024","01",256,"BLA049-C",101,"BLA049-C-101",1,"WEME",3,195,"C",1,2.5,3.3,67.7,59.3,"N","N","N","none","I","2023","BLA049"
"7","2024","1","1","6/10/2024","01",256,"BLA049-C",101,"BLA049-C-101",1,"WEME",5,100,"C",1,2.5,3.3,67.7,59.3,"N","N","N","none","I","2023","BLA049"
"8","2024","1","1","6/10/2024","01",256,"BLA049-C",101,"BLA049-C-101",2,"WEME",5,77,"C",2,2.5,3.3,67.7,59.3,"N","N","N","none","I","2023","BLA049"
"9","2024","1","1","6/10/2024","01",256,"BLA049-C",101,"BLA049-C-101",1,"GRSP",2,61,"C",1,2.5,3.3,67.7,59.3,"N","N","N","none","I","2023","BLA049"
"10","2024","1","1","6/10/2024","01",256,"BLA049-C",101,"BLA049-C-101",5,"NOFL",0,296,"V",1,2.5,3.3,67.7,59.3,"N","N","N","none","I","2023","BLA049"
"11","2024","1","1","6/10/2024","01",256,"BLA049-C",103,"BLA049-C-103",1,"GRSP",1,21,"C",1,1.5,2.3,65.6,60.5,"N","N","N","none","I","2023","BLA049"
"12","2024","1","1","6/10/2024","01",256,"BLA049-C",103,"BLA049-C-103",1,"GRSP",5,100,"C",1,1.5,2.3,65.6,60.5,"N","N","N","none","I","2023","BLA049"
"13","2024","1","1","6/10/2024","01",256,"BLA049-C",103,"BLA049-C-103",1,"WEME",4,53,"C",1,1.5,2.3,65.6,60.5,"N","N","N","none","I","2023","BLA049"
"14","2024","1","1","6/10/2024","01",256,"BLA049-C",103,"BLA049-C-103",1,"WEME",7,190,"C",1,1.5,2.3,65.6,60.5,"N","N","N","none","I","2023","BLA049"
"15","2024","1","1","6/10/2024","01",256,"BLA049-C",103,"BLA049-C-103",1,"WEME",0,69,"C",1,1.5,2.3,65.6,60.5,"N","N","N","none","I","2023","BLA049"
"16","2024","1","1","6/10/2024","01",256,"BLA049-C",103,"BLA049-C-103",2,"WEME",3,65,"C",1,1.5,2.3,65.6,60.5,"N","N","N","none","I","2023","BLA049"
"17","2024","1","1","6/10/2024","01",256,"BLA049-C",103,"BLA049-C-103",1,"GRSP",7,90,"C",1,1.5,2.3,65.6,60.5,"N","N","N","none","I","2023","BLA049"
"18","2024","1","1","6/10/2024","01",256,"BLA049-C",103,"BLA049-C-103",1,"GRSP",6,70,"C",1,1.5,2.3,65.6,60.5,"N","N","N","none","I","2023","BLA049"
"19","2024","1","1","6/10/2024","01",256,"BLA049-C",103,"BLA049-C-103",1,"GRSP",4,66,"C",1,1.5,2.3,65.6,60.5,"N","N","N","none","I","2023","BLA049"
"20","2024","1","1","6/10/2024","01",256,"BLA049-C",103,"BLA049-C-103",NA,NA,NA,NA,NA,NA,1.5,2.3,65.6,60.5,"N","N","N","none","I","2023","BLA049"
"21","2024","1","1","6/10/2024","01",256,"BLA049-C",103,"BLA049-C-103",3,"WITU",6,200,"C",1,1.5,2.3,65.6,60.5,"N","N","N","none","I","2023","BLA049"
"22","2024","1","1","6/10/2024","01",256,"BLA049-C",103,"BLA049-C-103",3,"BHCO",1,121,"V",1,1.5,2.3,65.6,60.5,"N","N","N","none","I","2023","BLA049"
"23","2024","1","1","6/10/2024","01",256,"BLA049-C",103,"BLA049-C-103",5,"MODO",5,93,"C",1,1.5,2.3,65.6,60.5,"N","N","N","none","I","2023","BLA049"
"24","2024","1","1","6/10/2024","01",256,"BLA049-C",12,"BLA049-C-12",1,"WEME",2,102,"V",1,5,7.7,50.9,69,"N","N","N","none","R","2023","BLA049"
"25","2024","1","1","6/10/2024","01",256,"BLA049-C",12,"BLA049-C-12",1,"GRSP",6,33,"C",1,5,7.7,50.9,69,"N","N","N","none","R","2023","BLA049"
"26","2024","1","1","6/10/2024","01",256,"BLA049-C",12,"BLA049-C-12",1,"GRSP",2,51,"C",1,5,7.7,50.9,69,"N","N","N","none","R","2023","BLA049"
"27","2024","1","1","6/10/2024","01",256,"BLA049-C",12,"BLA049-C-12",1,"BHCO",2,60,"C",1,5,7.7,50.9,69,"N","N","N","none","R","2023","BLA049"
"28","2024","1","1","6/10/2024","01",256,"BLA049-C",12,"BLA049-C-12",1,"WEME",3,120,"C",1,5,7.7,50.9,69,"N","N","N","none","R","2023","BLA049"
"29","2024","1","1","6/10/2024","01",256,"BLA049-C",12,"BLA049-C-12",1,"LASP",5,135,"C",1,5,7.7,50.9,69,"N","N","N","none","R","2023","BLA049"
"30","2024","1","1","6/10/2024","01",256,"BLA049-C",12,"BLA049-C-12",2,"FISP",5,120,"C",1,5,7.7,50.9,69,"N","N","N","none","R","2023","BLA049"
"31","2024","1","1","6/10/2024","01",256,"BLA049-C",12,"BLA049-C-12",2,"WEME",6,150,"C",1,5,7.7,50.9,69,"N","N","N","none","R","2023","BLA049"
"32","2024","1","1","6/10/2024","01",256,"BLA049-C",12,"BLA049-C-12",3,"WEME",4,45,"V",1,5,7.7,50.9,69,"N","N","N","none","R","2023","BLA049"
"33","2024","1","1","6/10/2024","01",256,"BLA049-C",12,"BLA049-C-12",3,"BHCO",4,95,"V",2,5,7.7,50.9,69,"N","N","N","none","R","2023","BLA049"
"34","2024","1","1","6/10/2024","01",256,"BLA049-C",12,"BLA049-C-12",4,"LASP",4,88,"V",2,5,7.7,50.9,69,"N","N","N","none","R","2023","BLA049"
"35","2024","1","1","6/10/2024","01",256,"BLA049-C",12,"BLA049-C-12",4,"GRSP",1,15,"C",1,5,7.7,50.9,69,"N","N","N","none","R","2023","BLA049"
"36","2024","1","1","6/10/2024","01",256,"BLA049-C",12,"BLA049-C-12",5,"GRSP",0,58,"V",1,5,7.7,50.9,69,"N","N","N","none","R","2023","BLA049"
"37","2024","1","1","6/10/2024","01",256,"BLA049-C",12,"BLA049-C-12",NA,NA,NA,NA,NA,NA,5,7.7,50.9,69,"N","N","N","none","R","2023","BLA049"
"38","2024","1","1","6/10/2024","01",256,"BLA049-C",12,"BLA049-C-12",4,"GRSP",1,18,"V",1,5,7.7,50.9,69,"N","N","N","none","R","2023","BLA049"
"39","2024","1","1","6/10/2024","01",256,"BLA049-C",126,"BLA049-C-126",1,"FISP",4,180,"C",1,4.5,5.7,70.8,57.5,"N","N","N","none","R","2023","BLA049"
"40","2024","1","1","6/10/2024","01",256,"BLA049-C",126,"BLA049-C-126",1,"BLGR",3,71,"V",1,4.5,5.7,70.8,57.5,"N","N","N","none","R","2023","BLA049"
"41","2024","1","1","6/10/2024","01",256,"BLA049-C",126,"BLA049-C-126",1,"LASP",5,77,"V",1,4.5,5.7,70.8,57.5,"N","N","N","none","R","2023","BLA049"
"42","2024","1","1","6/10/2024","01",256,"BLA049-C",126,"BLA049-C-126",1,"WEME",3,120,"C",1,4.5,5.7,70.8,57.5,"N","N","N","none","R","2023","BLA049"
"43","2024","1","1","6/10/2024","01",256,"BLA049-C",126,"BLA049-C-126",1,"WEME",2,95,"C",1,4.5,5.7,70.8,57.5,"N","N","N","none","R","2023","BLA049"
"44","2024","1","1","6/10/2024","01",256,"BLA049-C",126,"BLA049-C-126",4,"CONI",1,90,"C",1,4.5,5.7,70.8,57.5,"N","N","N","none","R","2023","BLA049"
"45","2024","1","1","6/10/2024","01",256,"BLA049-C",126,"BLA049-C-126",4,"WEME",5,144,"C",1,4.5,5.7,70.8,57.5,"N","N","N","none","R","2023","BLA049"
"46","2024","1","1","6/10/2024","01",256,"BLA049-C",126,"BLA049-C-126",4,"WEME",3,180,"C",1,4.5,5.7,70.8,57.5,"N","N","N","none","R","2023","BLA049"
"47","2024","1","1","6/10/2024","01",256,"BLA049-C",126,"BLA049-C-126",5,"AMCR",1,290,"C",1,4.5,5.7,70.8,57.5,"N","N","N","none","R","2023","BLA049"
